id,tenantId,tenantEmail,tenantName,name,brand,description,price,priceTier,imageUrl,purchaseUrl,concentration,active,featured,topNotes,heartNotes,baseNotes,olfactoryFamily,subFamily,genderTarget,tags,freshness,intensity,sweetness,seasons,occasions,timeOfDay,createdAt,updatedAt
cmorckbtv001n2g2x4opodo55,cmorblsz200002gtdxtkdr75p,benoitjoffre46@gmail.com,Sephora,Delina (Parfums de Marly),Parfums de Marly,"La rose version niche selon Parfums de Marly. Lychee, pivoine et jasmin s'épanouissent sur un musc blanc aérien pour un féminin romantique et luxueux de grande tenue.",265,niche,,,EDP,true,false,Lychee | Pomme rose,Rose de Grasse | Pivoine | Jasmin,Musc blanc | Ambre blanc | Cèdre,floral,fruity,female,romantic | luxury | feminine | signature,0.6,0.7,0.68,spring | summer,daily | evening | special,morning | afternoon | evening,2026-05-04T15:21:16.771Z,2026-05-04T15:28:20.747Z
cmorckbtt001l2g2xyace6kh1,cmorblsz200002gtdxtkdr75p,benoitjoffre46@gmail.com,Sephora,Another 13 (Le Labo),Le Labo,Le parfum anti-parfum de Le Labo. Une peau amplifiée par l'ambroxide et le musc crée une signature personnelle et minimale qui semble sortir de votre propre corps.,215,niche,,,EDP,true,false,Aldéhydes | Ambroxide,Ambroxide | Mousse,Musc | Bois | Iso E Super,musky,woody,unisex,minimal | skin-scent | modern | unisex,0.55,0.6,0.25,spring | summer | autumn | winter,daily | evening,morning | afternoon | evening,2026-05-04T15:21:16.769Z,2026-05-04T15:28:20.746Z
cmorckbtr001j2g2xtxtzzfen,cmorblsz200002gtdxtkdr75p,benoitjoffre46@gmail.com,Sephora,Le Male Le Parfum (Jean Paul Gaultier),Jean Paul Gaultier,"La version ultime du légendaire Le Mâle. L'accord lavande-vanille intensifié par la cardamome et l'ambre donne un masculin chaud, sensuel et inoubliable.",115,luxury,,,Parfum,true,false,Cardamome | Menthe | Bergamote,Lavande | Fleur d'oranger | Cacao,Ambre | Vanille | Santal | Musc,amber,spicy,male,evening | warm | masculine | party,0.35,0.8,0.65,autumn | winter,evening | special,evening | night,2026-05-04T15:21:16.768Z,2026-05-04T15:28:20.743Z
cmorckbtp001h2g2xlhinrfhr,cmorblsz200002gtdxtkdr75p,benoitjoffre46@gmail.com,Sephora,Good Girl (Carolina Herrera),Carolina Herrera,La dualité du Bien et du Mal. Un flacon en talon aiguille contient un accord café-jasmin séducteur et gourmand. Pour la femme qui joue avec les codes.,105,luxury,,,EDP,true,false,Café | Amandes,Jasmin d'Arabie | Tubéreuse,Fève tonka | Cacao | Cachemire,gourmand,floral,female,night | seductive | bold | sweet,0.3,0.75,0.78,autumn | winter,evening | special,evening | night,2026-05-04T15:21:16.766Z,2026-05-04T15:28:20.741Z
cmorckbtn001f2g2xkjhyihfn,cmorblsz200002gtdxtkdr75p,benoitjoffre46@gmail.com,Sephora,Hacivat (Nishane),Nishane,Un extraît de parfum turc d'exception. Bergamote lumineuse et patchouli terreux se marient sur un fond de mousse de chêne pour un sillage complexe et longue durée.,225,niche,,,Parfum,true,false,Pamplemousse | Bergamote,Patchouli | Jasmin | Magnolia,Mousse de chêne | Cèdre | Encens | Musc,citrus,woody,unisex,niche | refined | bright | longlasting,0.7,0.75,0.3,spring | summer | autumn | winter,daily | evening,morning | afternoon | evening,2026-05-04T15:21:16.764Z,2026-05-04T15:28:20.739Z
cmorckbtk001d2g2xylab1soc,cmorblsz200002gtdxtkdr75p,benoitjoffre46@gmail.com,Sephora,Mon Guerlain,Guerlain,La Provence en flacon. La lavande de Haute-Provence s'entremêle avec le jasmin et la vanille Tahitensis dans un accord chaud et féminin d'une douceur absolue.,86,luxury,,,EDP,true,false,Bergamote | Lavande de Provence,Lavande | Jasmin | Coumarine,Vanille Tahitensis | Santal | Musc,oriental,floral,female,warm | feminine | cozy | evening,0.4,0.65,0.7,spring | autumn,daily | evening,morning | afternoon | evening,2026-05-04T15:21:16.761Z,2026-05-04T15:28:20.737Z
cmorckbtj001b2g2x5199g2sr,cmorblsz200002gtdxtkdr75p,benoitjoffre46@gmail.com,Sephora,Prada L'Homme,Prada,L'élégance minimaliste selon Prada. Un iris poudré et délicat posé sur un bois sec et raffiné. Pour l'homme sophistiqué qui n'a rien à prouver.,90,luxury,,,EDT,true,false,Iris | Fleur d'oranger,Iris | Ambrette | Géranium,Cèdre | Vétiver | Bois,powdery,woody,male,clean | office | elegant | soft,0.65,0.55,0.3,spring | summer | autumn,daily | office,morning | afternoon,2026-05-04T15:21:16.759Z,2026-05-04T15:28:20.735Z
cmorckbth00192g2x01l8iay1,cmorblsz200002gtdxtkdr75p,benoitjoffre46@gmail.com,Sephora,Libre (Yves Saint Laurent),Yves Saint Laurent,"La liberté selon YSL. Un accord lavande-fleur d'oranger inédit, à la croisée du féminin et du masculin. Moderne, confiant, sans frontières de genre.",99,luxury,,,EDP,true,false,Mandarine | Lavande,Lavande française | Fleur d'oranger | Géranium de Madagascar,Musc | Vanille | Cèdre,floral,aromatic,female,modern | feminine | confident | daily,0.55,0.65,0.55,spring | summer | autumn,daily | office | evening,morning | afternoon | evening,2026-05-04T15:21:16.757Z,2026-05-04T15:28:20.733Z
cmorckbtf00172g2xfmdrpb95,cmorblsz200002gtdxtkdr75p,benoitjoffre46@gmail.com,Sephora,Baccarat Rouge 540 (Maison Francis Kurkdjian),Maison Francis Kurkdjian,"Un chef-d'œuvre de la parfumerie de niche. Jasmin, safran et ambrewood fusionnent dans une résine ambrée minérale unique. Reconnaissable entre tous, il laisse un sillage inoubliable.",325,niche,,,EDP,true,false,Jasmin | Safran,Ambrewood | Ambergris,Résine de sapin | Cèdre | Fougère,amber,woody,unisex,luxury | signature | bold | evening,0.35,0.8,0.7,autumn | winter,evening | special,afternoon | evening | night,2026-05-04T15:21:16.755Z,2026-05-04T15:28:20.731Z
cmorckbta00152g2xngza7xn0,cmorblsz200002gtdxtkdr75p,benoitjoffre46@gmail.com,Sephora,Aventus (Creed),Creed,"L'hymne au pouvoir et au succès. Ananas juteux, bouleau fumé et mousse de chêne créent un masculin de prestige inégalé, symbole de la réussite et de la confiance.",365,niche,,,EDP,true,false,Ananas | Bergamote | Pomme | Cassis,Bouleau | Patchouli | Rose | Jasmin,Musc | Mousse de chêne | Ambergris | Vanille,fruity,woody,male,luxury | confident | daytime | versatile,0.6,0.75,0.35,spring | summer | autumn | winter,daily | office | evening,morning | afternoon | evening,2026-05-04T15:21:16.751Z,2026-05-04T15:28:20.729Z
